node_id,x,y
1138,0.515625,0.265625
1139,0.484375,0.234375
1140,0.515625,0.234375
1141,0.265625,0.484375
1142,0.265625,0.515625
1143,0.234375,0.484375
1144,0.234375,0.515625
1145,0.734375,0.484375
1146,0.734375,0.515625
1147,0.765625,0.484375
1148,0.765625,0.515625
1149,0.515625,0.734375
1150,0.484375,0.734375
1151,0.515625,0.765625
1152,0.484375,0.765625
1153,0.109375,0.109375
1154,0.140625,0.140625
1155,0.140625,0.109375
1156,0.109375,0.140625
1157,0.890625,0.109375
1158,0.859375,0.140625
1159,0.859375,0.109375
1160,0.890625,0.140625
1161,0.890625,0.890625
1162,0.859375,0.859375
1163,0.890625,0.859375
1164,0.859375,0.890625
1165,0.109375,0.890625
1166,0.140625,0.859375
1167,0.109375,0.859375
1168,0.140625,0.890625
1169,0.390625,0.390625
1170,0.359375,0.359375
1171,0.390625,0.359375
1172,0.359375,0.390625
1173,0.609375,0.390625
1174,0.640625,0.359375
1175,0.609375,0.359375
1176,0.640625,0.390625
1177,0.609375,0.609375
1178,0.640625,0.640625
1179,0.640625,0.609375
1180,0.609375,0.640625
1181,0.390625,0.609375
1182,0.359375,0.640625
1183,0.359375,0.609375
1184,0.390625,0.640625
1185,0.390625,0.109375
1186,0.359375,0.140625
1187,0.359375,0.109375
1188,0.390625,0.140625
1189,0.609375,0.109375
1190,0.640625,0.140625
1191,0.640625,0.109375
1192,0.609375,0.140625
1193,0.109375,0.390625
1194,0.140625,0.359375
1195,0.109375,0.359375
1196,0.140625,0.390625
1197,0.109375,0.609375
1198,0.140625,0.640625
1199,0.109375,0.640625
1200,0.140625,0.609375
1201,0.890625,0.390625
1202,0.859375,0.359375
1203,0.890625,0.359375
1204,0.859375,0.390625
1205,0.890625,0.609375
1206,0.859375,0.640625
1207,0.890625,0.640625
1208,0.859375,0.609375
1209,0.609375,0.890625
1210,0.640625,0.859375
1211,0.640625,0.890625
1212,0.609375,0.859375
1213,0.390625,0.890625
1214,0.359375,0.859375
1215,0.359375,0.890625
1216,0.390625,0.859375
