node_id,x,y,lod_real,lod_imag,lod_abs,coarse_scale_real,coarse_scale_imag,correction_real,correction_imag,p1_real,p1_imag,exact_real,exact_imag,lod_point_error_abs,p1_point_error_abs,fine_reference_real,fine_reference_imag
1605,0.953125,0.015625,0.0010244146470135074,0.0011992936409895747,0.0015772541349870794,0.00083373681590634126,0.001171503621034646,0.00019067783110716615,2.7790019954928745e-05,0.02615417094467816,0.017223251354812244,2.7439882626054471e-05,0.00011773265830759933,0.0014709632354635576,0.031228269978743114,0.0018135015387333675,0.0015271461759380699
1606,0.921875,0.015625,0.00035877779789066436,0.00077094158348539545,0.00085033665886297257,0.00046821889742249228,0.00045708078833310231,-0.00010944109953182793,0.00031386079515229314,0.030040524188643322,0.0091009685860173432,0.00014478016530036498,0.00027878949361157375,0.00053666438890746522,0.031170279989883434,0.0022937304696026926,0.0011948798576945289
1607,0.984375,0.046875,0.001462241832726037,0.00096329865092617821,0.0017510269753062615,0.0009137695353609687,0.0011281861357014373,0.00054847229736506827,-0.00016488748477525906,0.027635334389626162,0.020336775108905775,-2.5406826721936918e-06,0.00012086137067841321,0.0016897598612133082,0.034242302883763828,0.0017721813407948325,0.001650265465650126
1608,0.984375,0.078125,0.0015222567282172407,-6.1279810665085333e-05,0.0015234896657994785,0.00062828433633174718,0.00037044581766668513,0.0008939723918854935,-0.00043172562833177045,0.033002851078539328,0.015328016094204411,-6.6022547567158183e-06,0.00031407210676009765,0.0015742613670337343,0.036263515045030656,0.0021662402669107477,0.0015795750997786785
1609,0.984375,0.953125,0.0014622418327254073,0.00096329865092622136,0.0017510269753057593,0.00091376953536031103,0.0011281861357015075,0.00054847229736509624,-0.00016488748477528617,0.027635334389625742,0.020336775108905542,-2.5406826721936918e-06,0.00012086137067841321,0.0016897598612127839,0.034242302883763356,0.0017721813407947393,0.0016502654656496058
1610,0.984375,0.921875,0.001522256728216483,-6.1279810664908107e-05,0.0015234896657987144,0.00062828433633105221,0.00037044581766683307,0.00089397239188543083,-0.00043172562833174117,0.033002851078538842,0.01532801609420421,-6.6022547567158183e-06,0.00031407210676009765,0.0015742613670329563,0.036263515045030129,0.0021662402669105191,0.0015795750997781299
1611,0.953125,0.984375,0.001024414647012925,0.0011992936409897285,0.0015772541349868179,0.00083373681590576761,0.0011715036210348637,0.00019067783110715737,2.7790019954864777e-05,0.026154170944677788,0.017223251354812119,2.7439882626054471e-05,0.00011773265830759933,0.0014709632354632759,0.031228269978742732,0.001813501538733294,0.0015271461759376007
1612,0.921875,0.984375,0.00035877779789011597,0.00077094158348580853,0.00085033665886311569,0.00046821889742196531,0.00045708078833354526,-0.00010944109953184934,0.00031386079515226327,0.030040524188642934,0.009100968586017371,0.00014478016530036498,0.00027878949361157375,0.00053666438890762535,0.03117027998988307,0.0022937304696025343,0.0011948798576941106
1613,0.015625,0.953125,-0.0004887894522089555,-0.00068383194618381834,0.00084056008661622717,-0.00032279322498261667,-0.00099953536630288773,-0.00016599622722633883,0.00031570342011906938,-0.0014631502040967131,-0.0009176886688395926,0.00011994486319359463,1.5071688166076534e-05,0.00092683534506194938,0.001837452550592871,8.0118201910866683e-05,-4.8860654931253683e-05
1614,0.015625,0.921875,-0.0010971182711409487,-0.0013289032784274809,0.0017232679490684585,-0.0006968786125147935,-0.0017690897152688549,-0.00040023965862615518,0.00044018643684137402,-0.0020822749951909265,-0.00089555504114749061,0.00031169045714779699,3.9165506962071439e-05,0.0019637602283526872,0.0025699753092295633,0.00029427488011950193,-9.4764000306325345e-06
1615,0.046875,0.984375,0.00011560910651955831,-0.00083535729134325465,0.00084331919799716991,-9.8364250999538518e-05,-0.0010081661910334109,0.00021397335751909683,0.00017280889969015624,-0.0015135847101989382,-0.0015456555919180033,0.00011248727254372089,4.4277979926598297e-05,0.00087964081096170187,0.0022742029056219181,3.5316260512404047e-05,-1.9925578298781092e-05
1616,0.078125,0.984375,0.00059686477614407827,-0.0019585772810977956,0.0020475039748518082,-0.0002480206645486372,-0.0017863513647299015,0.00084488544069271547,-0.00017222591636789414,-0.0021831440073953766,-0.0021514888873043125,0.00025475716563054735,0.00018380333123338272,0.0021695235203297043,0.0033759371847538705,0.00013610778046442906,0.00012281011969658207
1617,0.484375,0.453125,-0.72266660346690081,-0.64961599526606106,0.97172422068810338,-0.72528145482583206,-0.65688402808040947,0.0026148513589312472,0.0072680328143484019,-0.68263544034515378,-0.57520540180779944,-0.72847157846126853,-0.65640573157129312,0.0089329868341904931,0.093244008446117674,-0.72594099797060108,-0.65038525498086008
1618,0.515625,0.453125,-0.54266886567750416,-0.80603655170062494,0.97169152535830183,-0.549468932472431,-0.80967165843352229,0.0068000667949268401,0.003635106732897353,-0.53944004620672392,-0.71182700407070654,-0.54342778436618411,-0.81622641971719878,0.010218090221329143,0.10447554758390819,-0.54294611936671877,-0.80939314952180108
1619,0.484375,0.421875,-0.69953783034800743,-0.628213305388861,0.94021547166359476,-0.70417155743799709,-0.6326089094009113,0.0046337270899896588,0.0043956040120503026,-0.66247037107825846,-0.55414501078881118,-0.70568600429607564,-0.63587427650647399,0.0098229588903041391,0.092451413343254185,-0.70323753112526555,-0.63006114079690989
1620,0.515625,0.421875,-0.52468818640862036,-0.78016685352867565,0.94019041278966531,-0.52835903508459603,-0.78539653975402413,0.0036708486759756687,0.0052296862253484733,-0.51927497693982849,-0.69076661305171827,-0.52643012179401205,-0.79069599660674517,0.010672262779998385,0.10018521745034059,-0.52597057698217886,-0.78410117086517028
1621,0.453125,0.484375,-0.85308262000278623,-0.45568988540618205,0.96716246216047774,-0.80227441464538296,-0.44429073087770204,-0.050808205357403269,-0.011399154528480004,-0.74665799600409732,-0.38238323375754218,-0.86822253810238326,-0.45577291428577937,0.015140145767374661,0.14199994050563067,-0.86408550904328518,-0.45106613735875106
1622,0.453125,0.515625,-0.85308262000278723,-0.45568988540618188,0.96716246216047852,-0.80227441464538329,-0.44429073087770227,-0.050808205357403935,-0.011399154528479616,-0.74665799600409732,-0.38238323375754213,-0.86822253810238326,-0.45577291428577937,0.015140145767373662,0.1419999405056307,-0.86408550904328463,-0.4510661373587504
1623,0.421875,0.484375,-0.90828321549367541,-0.21101042498517766,0.9324718757152709,-0.858157477077099,-0.20742231499549663,-0.050125738416576415,-0.0035881099896810376,-0.79051548239614511,-0.16850067468829644,-0.92415209903900475,-0.21970828392164471,0.018096248645890781,0.14311172052332374,-0.91912439171555194,-0.21678087196990137
1624,0.421875,0.515625,-0.9082832154936753,-0.21101042498517839,0.93247187571527101,-0.85815747707709933,-0.20742231499549685,-0.050125738416575971,-0.0035881099896815372,-0.79051548239614522,-0.16850067468829638,-0.92415209903900475,-0.21970828392164471,0.018096248645890531,0.14311172052332366,-0.91912439171555171,-0.21678087196990101
1625,0.546875,0.484375,-0.33264065372364399,-0.90804684836895422,0.96705681495064377,-0.32855786678520454,-0.85614176227673311,-0.0040827869384394422,-0.051905086092221109,-0.34854767671641995,-0.76407170472757491,-0.32459628268891061,-0.9252981024135073,0.019034643980231577,0.16299576861576326,-0.32645723258973963,-0.9182634143469105
1626,0.546875,0.515625,-0.33264065372364471,-0.908046848368954,0.96705681495064388,-0.3285578667852046,-0.85614176227673311,-0.0040827869384401083,-0.051905086092220887,-0.34854767671642001,-0.76407170472757491,-0.32459628268891061,-0.9252981024135073,0.019034643980232083,0.16299576861576326,-0.32645723258973924,-0.91826341434690983
1627,0.578125,0.484375,-0.082983863391313986,-0.92841142525093201,0.93211270569594484,-0.086536903710143109,-0.87833674744044576,0.0035530403188291232,-0.050074677810486246,-0.13749023795922058,-0.79525601436545479,-0.082906040894874203,-0.94628506305717941,0.017873807226493982,0.16059018686671589,-0.087107378023921586,-0.93997838805882705
1628,0.578125,0.515625,-0.082983863391314361,-0.92841142525093212,0.93211270569594507,-0.086536903710143137,-0.87833674744044576,0.0035530403188287762,-0.050074677810486357,-0.13749023795922061,-0.79525601436545479,-0.082906040894874203,-0.94628506305717941,0.017873807226493871,0.16059018686671589,-0.08710737802392142,-0.9399783880588265
1629,0.515625,0.546875,-0.54266886567750405,-0.80603655170062649,0.97169152535830305,-0.54946893247243145,-0.80967165843352262,0.0068000667949273952,0.0036351067328961317,-0.53944004620672403,-0.71182700407070654,-0.54342778436618411,-0.81622641971719878,0.010218090221327601,0.10447554758390819,-0.54294611936671777,-0.80939314952179942
1630,0.484375,0.546875,-0.72266660346690104,-0.64961599526606195,0.97172422068810416,-0.72528145482583273,-0.65688402808041002,0.0026148513589316913,0.0072680328143480688,-0.682635440345154,-0.57520540180779944,-0.72847157846126853,-0.65640573157129312,0.0089329868341896743,0.093244008446117563,-0.72594099797059952,-0.65038525498085831
1631,0.515625,0.578125,-0.52468818640862336,-0.78016685352867665,0.94019041278966775,-0.52835903508459681,-0.78539653975402479,0.0036708486759734482,0.0052296862253481402,-0.5192749769398286,-0.69076661305171805,-0.52643012179401205,-0.79069599660674517,0.010672262779996909,0.10018521745034081,-0.52597057698217742,-0.78410117086516762
1632,0.484375,0.578125,-0.69953783034800965,-0.62821330538886111,0.94021547166359654,-0.7041715574379982,-0.63260890940091219,0.0046337270899885485,0.0043956040120510798,-0.66247037107825857,-0.55414501078881107,-0.70568600429607564,-0.63587427650647399,0.0098229588903026629,0.092451413343254227,-0.70323753112526421,-0.63006114079690789
1633,0.453125,0.015625,-0.0099150175310251908,-0.0011764550892458083,0.0099845690551745511,-0.0027683299390377086,0.0018254501270623972,-0.0071466875919874821,-0.0030019052163082057,-0.010851375776751191,0.00012308800761643823,-0.0032927661380892062,-0.0017285356610282738,0.0066452243354895284,0.0077821006084449439,-0.0040389898043776311,-0.001697667972224819
1634,0.421875,0.015625,-0.0080915874493205121,-0.0046344009981397214,0.009324776676229822,-0.001699530155505764,-0.0014717004085829195,-0.0063920572938147482,-0.0031627005895568019,-0.0083287578862318613,-0.00083684577137762943,-0.0035048810697895709,-0.00083325180562125636,0.005957063924099993,0.0048238781552604809,-0.0041046377441064479,-0.00062404598869432416
1635,0.546875,0.015625,0.00083412097853508937,-0.0096558004782923597,0.0096917614850667525,0.0014533549511750858,-0.002686452345396417,-0.00061923397263999639,-0.0069693481328959427,-0.007490369781077217,-0.014622467439965425,-0.001231043426405084,-0.0035092273300397895,0.0064842320660392326,0.012754735283617339,-0.002050477736406989,-0.0044448294538880061
1636,0.578125,0.015625,-0.0029352369181457542,-0.010018977996233894,0.01044009271293434,-0.0019297485104274219,-0.0026463266320119871,-0.0010054884077183323,-0.007372651364221907,-0.0086634893656672637,-0.019423615171892616,-0.0003144242312556611,-0.0035888211557194736,0.00694374366846721,0.017901049973487036,-0.00096144858761911456,-0.0049053355121213447
1637,0.484375,0.046875,-0.026025398834813931,-0.021711060798874828,0.033892352316172651,-0.037937766310219653,-0.034232764526492564,0.011912367475405722,0.012521703727617736,-0.044976440359986825,-0.033615874161279397,-0.023680055027871991,-0.021337447202883872,0.0023749157231089707,0.024582428618559433,-0.024231829511072819,-0.021305711592257734
1638,0.515625,0.046875,-0.01853511811506138,-0.028289264408740029,0.033820601477899268,-0.029264178174872403,-0.042081943247981125,0.010729060059811023,0.013792678839241096,-0.037919696889203471,-0.044520215655928133,-0.017664930544918963,-0.026532657011729736,0.0019603305727508413,0.027088887493583728,-0.018359838031433984,-0.02674063955214152
1639,0.484375,0.078125,-0.064515748149116134,-0.058509684889783101,0.087095723116246609,-0.072038402897869655,-0.07358812971569284,0.0075226547487535211,0.01507844482590974,-0.076578887052703118,-0.068314770109169309,-0.061535333655844009,-0.055447799063303445,0.0042729398973193559,0.019795642012809329,-0.061791082041337396,-0.055067589354043378
1640,0.515625,0.078125,-0.049514302038297271,-0.071839987969832361,0.08725050130426408,-0.063364814762522398,-0.081437308437181402,0.013850512724225127,0.0095973204673490409,-0.069522143581919771,-0.079219111603818046,-0.045904344133045859,-0.068948146449454462,0.0046254235975387945,0.025754478756313044,-0.046436288344776727,-0.068716434185078334
1641,0.015625,0.453125,0.009078909794289193,-0.0022486626619551975,0.0093532393757516791,0.005072230879041407,-0.0076828854381638502,0.004006678915247786,0.0054342227762086527,0.0064289569878451091,0.012301240359834242,0.0036898741880504351,0.00046365164504452797,0.0060331048113939252,0.012150353129215951,0.0045005010330815094,0.00099332964974374366
1642,0.015625,0.421875,0.0095613382327068702,-0.0017856301325856728,0.0097266470980816432,0.0053364830195300776,-0.0071900304964898501,0.0042248552131767926,0.0054044003639041778,0.0065115121686818035,0.012030742445944627,0.0035744600738173917,0.00044914926875787715,0.0063903794145619645,0.011948203862079275,0.004356752329516207,0.00094934149842569072
1643,0.015625,0.546875,0.0090789097942896475,-0.0022486626619550635,0.0093532393757520885,0.005072230879041649,-0.0076828854381638242,0.0040066789152479985,0.0054342227762087612,0.0064289569878451282,0.012301240359834242,0.0036898741880504351,0.00046365164504452797,0.0060331048113942713,0.012150353129215955,0.0045005010330814721,0.00099332964974360206
1644,0.015625,0.578125,0.0095613382327071131,-0.0017856301325860796,0.0097266470980819572,0.0053364830195304445,-0.0071900304964897877,0.0042248552131766686,0.0054044003639037077,0.0065115121686818286,0.012030742445944615,0.0035744600738173917,0.00044914926875787715,0.006390379414562334,0.01194820386207927,0.0043567523295161342,0.00094934149842547865
1645,0.046875,0.484375,0.03198931025351047,0.017436595386057595,0.03643282625809361,0.038132529852484977,0.034586771139367707,-0.0061432195989745073,-0.017150175753310112,0.032904986617657235,0.052642015479595704,0.029660164486749227,0.011675028988310151,0.006214544823112492,0.041095289910626047,0.029827038230315597,0.012904745019334042
1646,0.046875,0.515625,0.031989310253510587,0.017436595386057734,0.036432826258093777,0.038132529852485095,0.0345867711393677,-0.0061432195989745073,-0.017150175753309967,0.032904986617657249,0.052642015479595718,0.029660164486749227,0.011675028988310151,0.0062145448231126646,0.041095289910626068,0.029827038230315583,0.012904745019333997
1647,0.078125,0.484375,0.076554862784238162,0.057037279112310942,0.095466738838451984,0.071457080966417202,0.077349282658573271,0.0050977818178209594,-0.020312003546262329,0.05946357142830605,0.092712292685467546,0.067173283393845068,0.048464478818931921,0.012708537946137152,0.044914459704633626,0.066477272965871595,0.049892598400940735
1648,0.078125,0.515625,0.07655486278423837,0.057037279112311268,0.095466738838452345,0.071457080966417327,0.077349282658573271,0.0050977818178210427,-0.020312003546262003,0.059463571428306064,0.092712292685467559,0.067173283393845068,0.048464478818931921,0.012708537946137525,0.04491445970463364,0.066477272965871637,0.049892598400940714
1649,0.984375,0.453125,0.00019198378100018066,0.0066510378146818656,0.0066538080664004171,-0.0039986159143431729,0.002301823264540483,0.0041905996953433538,0.0043492145501413827,0.068097607420555928,-0.017550209450159632,-7.8159240525567991e-05,0.0037180687869798517,0.0029453836031217324,0.071416208377360749,0.0046173964178743629,0.0030257978636411597
1650,0.984375,0.421875,0.0004005183609815966,0.0072874649475927391,0.0072984628737752877,-0.0035934683828191343,0.0027160120381108724,0.0039939867438007308,0.0045714529094818667,0.06737221413289568,-0.016296170766649767,-7.5714528577502366e-05,0.0036017727850466441,0.0037163321275353631,0.070321769305881895,0.0045640615670683397,0.002963263318913608
1651,0.984375,0.546875,0.00019198378099978975,0.0066510378146820001,0.0066538080664005402,-0.0039986159143432856,0.0023018232645405194,0.0041905996953430754,0.0043492145501414807,0.068097607420555747,-0.017550209450159681,-7.8159240525567991e-05,0.0037180687869798517,0.0029453836031218305,0.071416208377360596,0.0046173964178741053,0.0030257978636410113
1652,0.984375,0.578125,0.00040051836098154814,0.0072874649475926636,0.0072984628737752097,-0.0035934683828193121,0.0027160120381109088,0.00399398674380086,0.0045714529094817548,0.067372214132895389,-0.016296170766649867,-7.5714528577502366e-05,0.0036017727850466441,0.0037163321275352824,0.070321769305881646,0.0045640615670679216,0.0029632633189133756
1653,0.953125,0.484375,0.016430544621826505,0.031787037607252495,0.035782377735621713,0.032174043859913064,0.040081281266725999,-0.015743499238086558,-0.0082942436594735033,0.091188595513616827,-0.00016769912591386635,0.0072352312735606342,0.03104324544368698,0.0092253463000246221,0.089567239703756879,0.01208668858309718,0.028647153875489145
1654,0.953125,0.515625,0.016430544621826415,0.03178703760725278,0.035782377735621922,0.032174043859913015,0.040081281266726033,-0.0157434992380866,-0.0082942436594732535,0.091188595513616771,-0.00016769912591385995,0.0072352312735606342,0.03104324544368698,0.0092253463000245544,0.089567239703756824,0.012086688583097078,0.028647153875489113
1655,0.921875,0.484375,0.048162335252600108,0.080402453441853039,0.09372387666146334,0.068751851165693337,0.078274928042481901,-0.020589515913093229,0.0021275253993711385,0.11355419031901749,0.018468849881841769,0.038175016782974469,0.07351002518514152,0.012134747524676432,0.093335688682012002,0.042478084212683578,0.069283287160231646
1656,0.921875,0.515625,0.048162335252600191,0.080402453441853192,0.09372387666146352,0.068751851165693295,0.078274928042481942,-0.020589515913093104,0.0021275253993712495,0.11355419031901744,0.018468849881841772,0.038175016782974469,0.07351002518514152,0.012134747524676588,0.093335688682011947,0.04247808421268346,0.06928328716023166
1657,0.546875,0.984375,0.00083412097853623256,-0.0096558004782923944,0.0096917614850668844,0.0014533549511759505,-0.0026864523453965974,-0.00061923397263971796,-0.006969348132895797,-0.0074903697810770071,-0.014622467439966348,-0.001231043426405084,-0.0035092273300397895,0.0064842320660396299,0.01275473528361804,-0.0020504777364077965,-0.0044448294538900939
1658,0.578125,0.984375,-0.0029352369181447511,-0.010018977996233544,0.010440092712933722,-0.0019297485104265741,-0.0026463266320118813,-0.0010054884077181771,-0.0073726513642216624,-0.0086634893656668856,-0.019423615171893345,-0.0003144242312556611,-0.0035888211557194736,0.0069437436684665066,0.017901049973487505,-0.00096144858761961481,-0.0049053355121232321
1659,0.453125,0.984375,-0.0099150175310245819,-0.0011764550892464799,0.0099845690551740255,-0.0027683299390371119,0.0018254501270619653,-0.00714668759198747,-0.0030019052163084451,-0.010851375776751607,0.00012308800761543469,-0.0032927661380892062,-0.0017285356610282738,0.0066452243354888658,0.0077821006084451095,-0.0040389898043794127,-0.0016976679722269989
1660,0.421875,0.984375,-0.0080915874493201444,-0.0046344009981399712,0.009324776676229626,-0.0016995301555053008,-0.0014717004085832213,-0.0063920572938148436,-0.0031627005895567498,-0.0083287578862324928,-0.00083684577137853365,-0.0035048810697895709,-0.00083325180562125636,0.005957063924099869,0.0048238781552611132,-0.0041046377441084896,-0.00062404598869638696
1661,0.515625,0.953125,-0.018535118115060881,-0.028289264408740709,0.033820601477899559,-0.029264178174871685,-0.042081943247981639,0.010729060059810804,0.013792678839240929,-0.037919696889203575,-0.044520215655929174,-0.017664930544918963,-0.026532657011729736,0.001960330572751229,0.027088887493584495,-0.018359838031435604,-0.026740639552143407
1662,0.484375,0.953125,-0.026025398834813286,-0.021711060798875297,0.033892352316172457,-0.037937766310219084,-0.034232764526493174,0.011912367475405798,0.012521703727617878,-0.044976440359987171,-0.033615874161280423,-0.023680055027871991,-0.021337447202883872,0.0023749157231084074,0.024582428618560245,-0.024231829511074769,-0.021305711592259555
1663,0.515625,0.921875,-0.049514302038296709,-0.071839987969832916,0.087250501304264219,-0.063364814762521843,-0.081437308437181971,0.013850512724225134,0.0095973204673490548,-0.069522143581920021,-0.07921911160381899,-0.045904344133045859,-0.068948146449454462,0.0046254235975387034,0.025754478756313648,-0.046436288344778705,-0.068716434185079764
1664,0.484375,0.921875,-0.064515748149115537,-0.058509684889783829,0.087095723116246665,-0.072038402897869253,-0.073588129715693507,0.0075226547487537154,0.015078444825909677,-0.076578887052703618,-0.068314770109170239,-0.061535333655844009,-0.055447799063303445,0.0042729398973194617,0.019795642012810311,-0.061791082041339672,-0.05506758935404469
1665,0.234375,0.203125,-0.064797602457825815,0.20695174609895492,0.21685883541531975,-0.068116423493829348,0.21364841976264026,0.0033188210360035331,-0.006696673663685343,-0.073152108387934789,0.19673399781739365,-0.064691514500976391,0.20605792974998813,0.0009000901734097593,0.012590367572223333,-0.065075636601542503,0.20477435253717222
1666,0.265625,0.203125,-0.13214654239266066,0.21572901295494662,0.25298560373438406,-0.12711609612181474,0.22174058528235022,-0.005030446270845923,-0.006011572327403597,-0.12321605457423479,0.20162339999933515,-0.13431557571581518,0.21702165724924918,0.0025250019462463203,0.018981720046057998,-0.13408118989635631,0.21557233755745125
1667,0.234375,0.171875,-0.051546115342710759,0.15595437614715907,0.16425215202965718,-0.047056683093674244,0.16175803235658057,-0.0044894322490365152,-0.0058036562094214983,-0.05283098129365122,0.14854478326313136,-0.050021576071611881,0.15933067091808956,0.0037045359182136775,0.01114576736734629,-0.050360657647918583,0.15827602359484866
