iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
5,8,55,19,5,26,6,17,0.125,0.625,0,0.5,0.25,0.5
5,9,57,22,5,25,6,13,0.125,0.375,0,0.5,0,0.25
5,10,58,23,5,20,3,14,0.125,0.875,0,1,0,0.75
5,11,61,26,5,21,4,17,0.375,0.375,0.5,0.5,0.25,0.5
5,12,62,27,5,23,4,18,0.625,0.625,0.5,0.5,0.75,0.5
5,13,65,30,5,24,12,17,0.375,0.625,0.25,0.75,0.25,0.5
5,14,67,32,5,20,12,15,0.125,0.875,0.25,0.75,0.25,1
5,15,68,34,5,26,12,14,0.125,0.625,0.25,0.75,0,0.75
5,16,71,33,5,29,13,0,0.125,0.125,0,0.25,0,0
5,17,72,35,5,33,16,5,0.625,0.125,0.5,0.25,0.5,0
5,18,73,41,6,34,25,13,0.125,0.25,0.125,0.375,0,0.25
5,19,74,43,6,37,22,16,0.625,0.25,0.625,0.375,0.5,0.25
5,20,75,45,6,36,21,17,0.25,0.375,0.375,0.375,0.25,0.5
5,21,76,47,6,31,21,16,0.5,0.375,0.375,0.375,0.5,0.25
5,22,77,59,6,31,22,4,0.5,0.375,0.625,0.375,0.5,0.5
5,23,78,63,6,35,21,9,0.375,0.25,0.375,0.375,0.25,0.25
5,24,79,70,6,36,25,9,0.25,0.375,0.125,0.375,0.25,0.25
5,25,81,17,5,32,5,16,0.375,0.125,0.5,0,0.5,0.25
5,26,82,41,6,34,9,25,0.125,0.25,0.25,0.25,0.125,0.375
5,27,84,45,6,36,9,21,0.25,0.375,0.25,0.25,0.375,0.375
5,28,85,47,6,31,4,21,0.5,0.375,0.5,0.5,0.375,0.375
5,29,86,59,6,31,16,22,0.5,0.375,0.5,0.25,0.625,0.375
5,30,87,63,6,35,16,21,0.375,0.25,0.5,0.25,0.375,0.375
5,31,88,70,6,36,17,25,0.25,0.375,0.25,0.5,0.125,0.375
5,32,90,9,5,29,28,9,0.125,0.125,0.25,0,0.25,0.25
5,33,91,17,6,35,32,16,0.375,0.25,0.375,0.125,0.5,0.25
5,34,92,9,5,32,28,5,0.375,0.125,0.25,0,0.5,0
5,35,93,33,6,34,29,9,0.125,0.25,0.125,0.125,0.25,0.25
5,36,96,9,5,29,0,28,0.125,0.125,0,0,0.25,0
5,37,97,17,6,35,9,32,0.375,0.25,0.25,0.25,0.375,0.125
5,38,98,9,5,32,9,28,0.375,0.125,0.25,0.25,0.25,0
5,39,99,33,6,34,13,29,0.125,0.25,0,0.25,0.125,0.125
5,40,100,35,6,37,16,33,0.625,0.25,0.5,0.25,0.625,0.125
5,41,101,80,5,39,30,1,0.875,0.125,0.75,0,1,0
5,42,102,83,7,43,37,10,0.6875,0.3125,0.625,0.25,0.75,0.25
5,43,103,89,6,44,33,30,0.75,0.125,0.625,0.125,0.75,0
5,44,104,94,7,45,37,33,0.6875,0.1875,0.625,0.25,0.625,0.125
5,45,105,95,6,40,33,5,0.625,0,0.625,0.125,0.5,0
5,46,106,20,5,41,7,18,0.875,0.375,1,0.5,0.75,0.5
5,47,107,66,6,42,18,22,0.75,0.375,0.75,0.5,0.625,0.375
5,48,108,83,7,43,22,37,0.6875,0.3125,0.625,0.375,0.625,0.25
5,49,109,94,7,45,10,37,0.6875,0.1875,0.75,0.25,0.625,0.25
5,50,110,95,6,40,30,33,0.625,0,0.75,0,0.625,0.125
5,51,111,12,5,39,38,10,0.875,0.125,1,0.25,0.75,0.25
5,52,112,20,6,42,41,18,0.75,0.375,0.875,0.375,0.75,0.5
5,53,113,66,7,43,42,22,0.6875,0.3125,0.75,0.375,0.625,0.375
5,54,114,12,5,41,38,7,0.875,0.375,1,0.25,1,0.5
5,55,115,80,6,44,39,10,0.75,0.125,0.875,0.125,0.75,0.25
5,56,116,89,7,45,44,10,0.6875,0.1875,0.75,0.125,0.75,0.25
5,57,117,12,5,39,1,38,0.875,0.125,1,0,1,0.25
5,58,118,20,6,42,10,41,0.75,0.375,0.75,0.25,0.875,0.375
5,59,119,66,7,43,10,42,0.6875,0.3125,0.75,0.25,0.75,0.375
5,60,120,12,5,41,10,38,0.875,0.375,0.75,0.25,1,0.25
5,61,121,80,6,44,30,39,0.75,0.125,0.75,0,0.875,0.125
5,62,122,89,7,45,33,44,0.6875,0.1875,0.625,0.125,0.75,0.125
5,63,123,10,4,47,11,2,0.75,1,0.75,0.75,1,1
