schema_version,case,method,kappa,run_id,reference_epoch,H_step,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,17,35,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=1.0253122691988472e-14,7343,7296,0,,,4,,,1.3589417471103633,,,,,0.25017782264003147,0.0025635603043900074,0.058827792987240404,0.016145957029719289,,,,4549,0,0,0,0,0,0.276630877,0.232639663,1.9532974300000001,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,18,36,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,10079,10026,0,,,4,,,0,,,,,,,,,,,,4549,0,0,0.049836001999999997,0,0,0,0,2.0033070319999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,18,37,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=1.2441690607795265e-14,10079,10026,0,,,4,,,1.1464640452004677,,,,,0.20758265458244929,0.0018119060359580857,0.048811798866713045,0.011411846621424516,,,,6488,0,0,0,0,0,0.38959693499999998,0.32140745799999998,2.7144867950000005,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,19,38,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,13961,13897,0,,,4,,,0,,,,,,,,,,,,6488,0,0,0.072643017000000004,0,0,0,0,2.7873750510000006,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,19,39,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=1.4598982438673861e-14,13961,13897,0,,,4,,,0.97394378394280035,,,,,0.17504543980599957,0.0012039925568076266,0.041160870872304703,0.0075830523873500477,,,,8921,0,0,0,0,0,0.54763123499999999,0.44834215999999999,3.7835905949999997,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,20,40,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,19044,18973,0,,,4,,,0,,,,,,,,,,,,8921,0,0,0.100484883,0,0,0,0,3.8844152569999997,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,20,41,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=1.7626064823071043e-14,19044,18973,0,,,4,,,0.83078008415180871,,,,,0.14950126063810515,0.00089729703627933785,0.035154312498251676,0.0056514057289203693,,,,12388,0,0,0,0,0,0.78326663299999999,0.61707824899999997,5.285078469000001,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,21,42,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,25982,25899,0,,,4,,,0,,,,,,,,,,,,12388,0,0,0.14162387200000001,0,0,0,0,5.4271845699999997,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,21,43,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.0478682232593049e-14,25982,25899,0,,,4,,,0.70938516259775009,,,,,0.12761880792044986,0.00072032472380200406,0.030008786839177511,0.0045367889407696704,,,,17081,0,0,0,0,0,1.08595709,0.84167751999999996,7.3552445190000011,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,22,44,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,35391,35294,0,,,4,,,0,,,,,,,,,,,,17081,0,0,0.200843087,0,0,0,0,7.5567321439999997,1055.18359375
